0,1,2,3,4,5,6,7,8,9,10
rolls/buns,cream cheese ,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
pip fruit,other vegetables,rolls/buns,,,,,,,,
sausage,root vegetables,brown bread,soda,,,,,,,
pip fruit,specialty fat,,,,,,,,,
ice cream,beef,,,,,,,,,
hygiene articles,yogurt,,,,,,,,,
tropical fruit,other vegetables,domestic eggs,,,,,,,,
canned beer,misc. beverages,liqueur,,,,,,,,
misc. beverages,dessert,spread cheese,onions,coffee,,,,,,
beverages,specialty bar,,,,,,,,,
yogurt,bottled beer,,,,,,,,,
white wine,Instant food products,,,,,,,,,
sausage,salt,,,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
beverages,sugar,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
sausage,root vegetables,,,,,,,,,
canned beer,brandy,waffles,cat food,dishes,light bulbs,,,,,
yogurt,pork,UHT-milk,specialty bar,,,,,,,
soft cheese,spices,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
dish cleaner,whole milk,,,,,,,,,
ham,yogurt,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
dessert,whole milk,waffles,,,,,,,,
pork,pip fruit,,,,,,,,,
napkins,bags,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
packaged fruit/vegetables,bottled beer,,,,,,,,,
cream cheese ,pastry,,,,,,,,,
citrus fruit,beef,citrus fruit,whipped/sour cream,dishes,bottled beer,whole milk,,,,
tropical fruit,other vegetables,,,,,,,,,
beef,hamburger meat,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
semi-finished bread,tropical fruit,,,,,,,,,
chocolate,whipped/sour cream,rolls/buns,,,,,,,,
pastry,pet care,margarine,,,,,,,,
canned beer,ice cream,,,,,,,,,
dessert,berries,newspapers,onions,,,,,,,
specialty bar,soda,,,,,,,,,
soda,red/blush wine,,,,,,,,,
pork,UHT-milk,rolls/buns,cleaner,newspapers,,,,,,
tropical fruit,soda,,,,,,,,,
pork,berries,,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
bottled beer,yogurt,other vegetables,,,,,,,,
tropical fruit,other vegetables,berries,butter,,,,,,,
citrus fruit,chewing gum,,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
curd,pork,,,,,,,,,
frozen meals,frozen potato products,,,,,,,,,
fish,root vegetables,chocolate,,,,,,,,
pastry,whole milk,,,,,,,,,
brown bread,tropical fruit,sugar,,,,,,,,
yogurt,other vegetables,white wine,frozen vegetables,,,,,,,
chicken,chicken,salt,,,,,,,,
frankfurter,misc. beverages,,,,,,,,,
onions,specialty chocolate,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
baking powder,soda,beverages,,,,,,,,
packaged fruit/vegetables,long life bakery product,,,,,,,,,
sausage,rum,,,,,,,,,
mayonnaise,curd,,,,,,,,,
whole milk,domestic eggs,yogurt,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
butter,other vegetables,,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
root vegetables,ham,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
whole milk,yogurt,yogurt,rolls/buns,,,,,,,
root vegetables,ice cream,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
citrus fruit,beef,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
butter milk,candles,pot plants,,,,,,,,
beef,other vegetables,,,,,,,,,
nuts/prunes,butter,brown bread,,,,,,,,
sausage,whole milk,,,,,,,,,
tropical fruit,meat,other vegetables,domestic eggs,baking powder,,,,,,
chicken,tropical fruit,,,,,,,,,
pickled vegetables,cream cheese ,,,,,,,,,
citrus fruit,hamburger meat,rolls/buns,,,,,,,,
other vegetables,specialty bar,long life bakery product,,,,,,,,
sauces,shopping bags,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
ham,canned beer,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
pip fruit,vinegar,misc. beverages,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
other vegetables,pip fruit,UHT-milk,herbs,,,,,,,
soft cheese,coffee,,,,,,,,,
whole milk,whole milk,,,,,,,,,
margarine,whole milk,berries,,,,,,,,
ham,pickled vegetables,newspapers,,,,,,,,
oil,yogurt,,,,,,,,,
fruit/vegetable juice,rolls/buns,,,,,,,,,
soda,beverages,,,,,,,,,
citrus fruit,canned beer,flour,,,,,,,,
white wine,ham,whole milk,coffee,bottled water,,,,,,
root vegetables,specialty bar,,,,,,,,,
sausage,coffee,pip fruit,tropical fruit,,,,,,,
newspapers,soda,,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
fish,specialty chocolate,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
bottled water,cooking chocolate,,,,,,,,,
napkins,fruit/vegetable juice,,,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
pork,root vegetables,,,,,,,,,
pip fruit,brown bread,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
chicken,white wine,margarine,,,,,,,,
sausage,rolls/buns,rolls/buns,rolls/buns,,,,,,,
pork,shopping bags,,,,,,,,,
root vegetables,curd,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
tropical fruit,soda,rolls/buns,,,,,,,,
curd,long life bakery product,,,,,,,,,
chocolate,dessert,,,,,,,,,
sausage,berries,rolls/buns,,,,,,,,
yogurt,soda,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
other vegetables,pasta,,,,,,,,,
canned beer,grapes,whole milk,dessert,,,,,,,
tropical fruit,butter,hamburger meat,rolls/buns,soda,shopping bags,,,,,
ice cream,onions,,,,,,,,,
pastry,cat food,,,,,,,,,
whole milk,rolls/buns,dish cleaner,,,,,,,,
frankfurter,canned beer,,,,,,,,,
sparkling wine,specialty bar,,,,,,,,,
oil,candy,,,,,,,,,
brown bread,coffee,,,,,,,,,
sausage,frozen meals,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
brown bread,dishes,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
dessert,brown bread,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
root vegetables,mustard,,,,,,,,,
tropical fruit,white bread,rolls/buns,,,,,,,,
candy,other vegetables,,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
yogurt,baking powder,,,,,,,,,
berries,other vegetables,sausage,pip fruit,rolls/buns,brown bread,sauces,,,,
pork,mayonnaise,,,,,,,,,
soda,soda,,,,,,,,,
butter milk,root vegetables,,,,,,,,,
pastry,candy,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
curd,salty snack,,,,,,,,,
soda,chocolate,,,,,,,,,
pickled vegetables,meat,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
waffles,whole milk,condensed milk,,,,,,,,
tropical fruit,rum,flour,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
citrus fruit,margarine,,,,,,,,,
newspapers,fruit/vegetable juice,waffles,,,,,,,,
photo/film,white wine,other vegetables,brown bread,canned fish,margarine,sliced cheese,,,,
chocolate,whipped/sour cream,,,,,,,,,
other vegetables,soda,,,,,,,,,
rolls/buns,butter milk,fruit/vegetable juice,,,,,,,,
grapes,other vegetables,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
beef,coffee,,,,,,,,,
beef,grapes,,,,,,,,,
shopping bags,whole milk,domestic eggs,,,,,,,,
berries,curd,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
candles,chewing gum,,,,,,,,,
turkey,bottled water,,,,,,,,,
soda,shopping bags,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
yogurt,semi-finished bread,flour,,,,,,,,
yogurt,shopping bags,waffles,chocolate,,,,,,,
other vegetables,semi-finished bread,other vegetables,rolls/buns,shopping bags,salty snack,,,,,
whole milk,soda,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
hygiene articles,frozen dessert,,,,,,,,,
fruit/vegetable juice,chewing gum,,,,,,,,,
frankfurter,chocolate,,,,,,,,,
ham,grapes,,,,,,,,,
liquor,hygiene articles,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
grapes,whole milk,frozen vegetables,,,,,,,,
sausage,pastry,bottled beer,UHT-milk,,,,,,,
meat,chocolate,,,,,,,,,
pastry,white bread,,,,,,,,,
whole milk,pork,brown bread,other vegetables,,,,,,,
canned beer,seasonal products,,,,,,,,,
sausage,citrus fruit,butter,specialty bar,salty snack,,,,,,
root vegetables,whipped/sour cream,root vegetables,canned beer,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
butter,skin care,rolls/buns,,,,,,,,
root vegetables,chewing gum,,,,,,,,,
sausage,cake bar,,,,,,,,,
sausage,sausage,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
dessert,pastry,,,,,,,,,
white bread,specialty bar,newspapers,,,,,,,,
chicken,sausage,domestic eggs,pasta,,,,,,,
tropical fruit,whole milk,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
whole milk,rolls/buns,jam,red/blush wine,,,,,,,
sugar,UHT-milk,margarine,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
soda,sausage,whole milk,beverages,shopping bags,,,,,,
whole milk,newspapers,soda,whipped/sour cream,,,,,,,
beef,pastry,whole milk,,,,,,,,
sausage,sugar,yogurt,,,,,,,,
ham,butter milk,,,,,,,,,
brown bread,other vegetables,,,,,,,,,
waffles,shopping bags,sparkling wine,,,,,,,,
processed cheese,whole milk,soda,domestic eggs,,,,,,,
packaged fruit/vegetables,beverages,,,,,,,,,
yogurt,condensed milk,,,,,,,,,
meat,coffee,,,,,,,,,
ham,yogurt,,,,,,,,,
butter,soda,,,,,,,,,
candy,domestic eggs,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
curd,processed cheese,,,,,,,,,
citrus fruit,jam,,,,,,,,,
ham,soda,specialty chocolate,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
frankfurter,oil,other vegetables,,,,,,,,
UHT-milk,other vegetables,dishes,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
root vegetables,beverages,,,,,,,,,
ham,tropical fruit,frozen meals,sparkling wine,,,,,,,
rolls/buns,bottled water,other vegetables,finished products,other vegetables,butter,yogurt,rolls/buns,citrus fruit,,
frankfurter,soda,,,,,,,,,
soda,rolls/buns,,,,,,,,,
other vegetables,bottled water,cereals,,,,,,,,
whole milk,butter milk,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
cream,shopping bags,,,,,,,,,
pip fruit,dessert,hard cheese,,,,,,,,
dessert,berries,mayonnaise,,,,,,,,
butter,rolls/buns,cream cheese ,flour,,,,,,,
whole milk,sweet spreads,soda,soda,,,,,,,
beef,rolls/buns,,,,,,,,,
margarine,yogurt,,,,,,,,,
sausage,sugar,,,,,,,,,
sausage,white wine,whole milk,beverages,semi-finished bread,napkins,,,,,
canned beer,pork,processed cheese,root vegetables,snack products,sugar,,,,,
whipped/sour cream,flour,,,,,,,,,
citrus fruit,white wine,bottled beer,newspapers,cat food,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
pip fruit,root vegetables,root vegetables,beverages,,,,,,,
sausage,herbs,,,,,,,,,
waffles,flour,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
beef,meat,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
newspapers,berries,,,,,,,,,
butter,root vegetables,,,,,,,,,
ham,seasonal products,cat food,,,,,,,,
margarine,soda,,,,,,,,,
pork,root vegetables,,,,,,,,,
beef,napkins,,,,,,,,,
rolls/buns,photo/film,,,,,,,,,
sausage,chicken,margarine,yogurt,,,,,,,
soda,candy,,,,,,,,,
hamburger meat,soft cheese,pickled vegetables,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
pork,curd,,,,,,,,,
pork,bottled beer,whole milk,margarine,,,,,,,
hamburger meat,bottled beer,domestic eggs,,,,,,,,
baking powder,soda,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
coffee,liquor,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
UHT-milk,soda,,,,,,,,,
bottled water,frozen fish,,,,,,,,,
chicken,citrus fruit,sugar,,,,,,,,
semi-finished bread,cereals,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
herbs,newspapers,newspapers,rolls/buns,,,,,,,
frozen meals,napkins,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
chicken,pork,brandy,,,,,,,,
other vegetables,UHT-milk,curd,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
berries,whole milk,sugar,,,,,,,,
frankfurter,sausage,pastry,newspapers,newspapers,honey,,,,,
sausage,ice cream,rolls/buns,,,,,,,,
yogurt,shopping bags,,,,,,,,,
sliced cheese,cream cheese ,semi-finished bread,,,,,,,,
meat,other vegetables,,,,,,,,,
other vegetables,long life bakery product,pastry,,,,,,,,
yogurt,other vegetables,,,,,,,,,
herbs,coffee,salt,,,,,,,,
canned beer,ready soups,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
pet care,pip fruit,candy,,,,,,,,
butter,rolls/buns,,,,,,,,,
tropical fruit,frozen dessert,,,,,,,,,
other vegetables,pot plants,,,,,,,,,
soda,root vegetables,,,,,,,,,
dishes,salty snack,,,,,,,,,
canned beer,pastry,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
meat,sausage,other vegetables,shopping bags,,,,,,,
soda,yogurt,,,,,,,,,
pork,herbs,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
spread cheese,specialty chocolate,,,,,,,,,
pork,condensed milk,bottled beer,other vegetables,candy,,,,,,
whole milk,white bread,,,,,,,,,
sausage,whole milk,pastry,rolls/buns,coffee,bottled beer,chocolate,rolls/buns,,,
rolls/buns,whole milk,,,,,,,,,
specialty cheese,brown bread,margarine,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
sausage,root vegetables,bottled beer,butter,whole milk,newspapers,yogurt,,,,
finished products,rolls/buns,,,,,,,,,
canned beer,turkey,pastry,bottled water,butter,,,,,,
butter,soda,,,,,,,,,
frozen meals,red/blush wine,whipped/sour cream,,,,,,,,
long life bakery product,condensed milk,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
long life bakery product,napkins,,,,,,,,,
bottled beer,sausage,cream cheese ,frozen vegetables,,,,,,,
white bread,bottled beer,yogurt,berries,,,,,,,
tropical fruit,soda,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
citrus fruit,rolls/buns,whole milk,brown bread,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
long life bakery product,yogurt,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
meat,pork,,,,,,,,,
white bread,mustard,,,,,,,,,
specialty bar,other vegetables,,,,,,,,,
kitchen towels,rolls/buns,,,,,,,,,
frozen vegetables,fruit/vegetable juice,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
pork,tropical fruit,,,,,,,,,
whipped/sour cream,instant coffee,,,,,,,,,
nuts/prunes,long life bakery product,,,,,,,,,
misc. beverages,dishes,,,,,,,,,
citrus fruit,skin care,,,,,,,,,
UHT-milk,soda,,,,,,,,,
margarine,soda,canned fish,,,,,,,,
frozen vegetables,fruit/vegetable juice,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
domestic eggs,bottled water,,,,,,,,,
bottled water,soda,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
sausage,whole milk,margarine,,,,,,,,
beef,yogurt,,,,,,,,,
pork,specialty chocolate,,,,,,,,,
hamburger meat,tropical fruit,soda,,,,,,,,
whole milk,root vegetables,rolls/buns,whipped/sour cream,,,,,,,
tropical fruit,pasta,sugar,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
whole milk,pork,rolls/buns,yogurt,,,,,,,
turkey,soda,rolls/buns,,,,,,,,
sausage,house keeping products,,,,,,,,,
mayonnaise,pastry,,,,,,,,,
red/blush wine,bottled beer,,,,,,,,,
yogurt,yogurt,bags,,,,,,,,
flower soil/fertilizer,butter milk,,,,,,,,,
brandy,whole milk,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
root vegetables,hard cheese,waffles,,,,,,,,
tropical fruit,dishes,,,,,,,,,
whole milk,frozen vegetables,soda,,,,,,,,
beef,chocolate,,,,,,,,,
bottled water,hard cheese,,,,,,,,,
sausage,yogurt,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
whole milk,yogurt,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
sausage,other vegetables,,,,,,,,,
fish,pot plants,coffee,,,,,,,,
butter milk,dessert,,,,,,,,,
butter milk,meat,curd,soda,long life bakery product,,,,,,
curd,canned beer,,,,,,,,,
sausage,chicken,pip fruit,other vegetables,,,,,,,
whole milk,grapes,,,,,,,,,
frankfurter,butter,,,,,,,,,
hard cheese,sugar,,,,,,,,,
yogurt,pastry,,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
dessert,pot plants,,,,,,,,,
soda,whole milk,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
frozen meals,whole milk,fruit/vegetable juice,butter,chocolate,bottled water,,,,,
sausage,yogurt,,,,,,,,,
sausage,hamburger meat,,,,,,,,,
house keeping products,cat food,,,,,,,,,
pip fruit,beverages,,,,,,,,,
beverages,liquor,shopping bags,,,,,,,,
cream,yogurt,,,,,,,,,
pork,bottled beer,,,,,,,,,
tropical fruit,whole milk,soda,curd,,,,,,,
soft cheese,soda,,,,,,,,,
soft cheese,frozen vegetables,,,,,,,,,
pork,domestic eggs,,,,,,,,,
pastry,cream cheese ,,,,,,,,,
bottled water,beverages,,,,,,,,,
dessert,sliced cheese,,,,,,,,,
whole milk,male cosmetics,,,,,,,,,
grapes,pip fruit,photo/film,root vegetables,cling film/bags,,,,,,
yogurt,hamburger meat,other vegetables,mustard,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
curd,bottled beer,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
rolls/buns,yogurt,newspapers,,,,,,,,
white bread,rolls/buns,,,,,,,,,
beverages,mustard,yogurt,,,,,,,,
curd,brown bread,whole milk,chewing gum,,,,,,,
coffee,butter milk,,,,,,,,,
canned beer,long life bakery product,rolls/buns,,,,,,,,
finished products,popcorn,,,,,,,,,
pork,soda,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
root vegetables,pastry,,,,,,,,,
whole milk,margarine,rolls/buns,,,,,,,,
flour,brown bread,,,,,,,,,
meat,whole milk,newspapers,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
turkey,whipped/sour cream,butter,,,,,,,,
pastry,tropical fruit,sugar,sauces,bottled water,sliced cheese,,,,,
whole milk,soda,root vegetables,pastry,specialty fat,bottled water,napkins,tropical fruit,,,
tropical fruit,flower (seeds),,,,,,,,,
root vegetables,soda,,,,,,,,,
bottled water,specialty chocolate,,,,,,,,,
pip fruit,ice cream,,,,,,,,,
beverages,tropical fruit,ham,flour,,,,,,,
citrus fruit,beverages,,,,,,,,,
popcorn,dishes,whole milk,,,,,,,,
whole milk,other vegetables,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
frozen meals,soups,,,,,,,,,
pip fruit,pastry,,,,,,,,,
meat,oil,,,,,,,,,
root vegetables,canned beer,whole milk,oil,,,,,,,
tropical fruit,coffee,softener,soda,,,,,,,
meat,pip fruit,,,,,,,,,
long life bakery product,brown bread,,,,,,,,,
root vegetables,whole milk,bottled water,canned vegetables,,,,,,,
berries,domestic eggs,coffee,,,,,,,,
yogurt,brown bread,,,,,,,,,
fruit/vegetable juice,butter,,,,,,,,,
sausage,whole milk,,,,,,,,,
frozen dessert,canned beer,,,,,,,,,
hamburger meat,beverages,margarine,,,,,,,,
other vegetables,skin care,domestic eggs,,,,,,,,
sausage,whole milk,,,,,,,,,
beverages,newspapers,,,,,,,,,
bottled water,newspapers,specialty bar,bottled water,,,,,,,
UHT-milk,curd,chocolate,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
canned beer,domestic eggs,white wine,waffles,,,,,,,
baking powder,butter,,,,,,,,,
pip fruit,soda,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
brown bread,butter milk,canned vegetables,soda,,,,,,,
chewing gum,yogurt,,,,,,,,,
soda,whole milk,,,,,,,,,
whole milk,chocolate marshmallow,,,,,,,,,
ham,curd,,,,,,,,,
soda,rolls/buns,,,,,,,,,
specialty chocolate,whole milk,red/blush wine,,,,,,,,
pastry,shopping bags,,,,,,,,,
canned fish,yogurt,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
chocolate,white bread,,,,,,,,,
pastry,Instant food products,,,,,,,,,
newspapers,grapes,onions,coffee,,,,,,,
chicken,waffles,pip fruit,tropical fruit,pastry,bottled water,shopping bags,bottled water,,,
ham,brown bread,,,,,,,,,
other vegetables,frozen vegetables,rolls/buns,,,,,,,,
sausage,soda,newspapers,,,,,,,,
tropical fruit,mustard,,,,,,,,,
canned beer,tropical fruit,bottled beer,,,,,,,,
specialty chocolate,long life bakery product,,,,,,,,,
pastry,other vegetables,,,,,,,,,
soft cheese,rice,,,,,,,,,
meat,beef,whole milk,other vegetables,grapes,whipped/sour cream,coffee,whole milk,,,
other vegetables,semi-finished bread,,,,,,,,,
sausage,butter,specialty bar,soda,whipped/sour cream,,,,,,
brown bread,domestic eggs,,,,,,,,,
ham,pickled vegetables,shopping bags,,,,,,,,
butter,domestic eggs,,,,,,,,,
meat,sliced cheese,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
pork,pork,frankfurter,frozen fish,waffles,napkins,rolls/buns,,,,
roll products ,seasonal products,,,,,,,,,
beverages,white wine,frozen potato products,,,,,,,,
soda,shopping bags,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
pip fruit,other vegetables,bottled water,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
herbs,yogurt,newspapers,,,,,,,,
roll products ,whole milk,tropical fruit,rolls/buns,rolls/buns,,,,,,
male cosmetics,hard cheese,,,,,,,,,
curd,whole milk,bottled water,,,,,,,,
whole milk,waffles,dessert,,,,,,,,
tropical fruit,berries,,,,,,,,,
chocolate marshmallow,newspapers,,,,,,,,,
brown bread,yogurt,,,,,,,,,
bottled water,onions,root vegetables,grapes,,,,,,,
butter,syrup,pickled vegetables,whole milk,,,,,,,
beverages,bottled water,,,,,,,,,
cat food,whole milk,whole milk,,,,,,,,
citrus fruit,white bread,,,,,,,,,
yogurt,baking powder,,,,,,,,,
soda,other vegetables,,,,,,,,,
root vegetables,female sanitary products,,,,,,,,,
whole milk,coffee,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
frankfurter,hygiene articles,rolls/buns,,,,,,,,
brown bread,onions,,,,,,,,,
butter,flour,fruit/vegetable juice,fruit/vegetable juice,,,,,,,
misc. beverages,cling film/bags,,,,,,,,,
berries,bottled beer,beef,whole milk,,,,,,,
meat,pork,butter milk,cat food,,,,,,,
frankfurter,butter milk,,,,,,,,,
pastry,other vegetables,,,,,,,,,
sausage,frozen meals,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
cream cheese ,yogurt,,,,,,,,,
bottled water,salty snack,,,,,,,,,
citrus fruit,salt,,,,,,,,,
vinegar,whole milk,,,,,,,,,
bottled beer,soups,detergent,,,,,,,,
butter milk,shopping bags,baking powder,,,,,,,,
whole milk,root vegetables,,,,,,,,,
soda,onions,other vegetables,,,,,,,,
pork,salty snack,,,,,,,,,
beef,curd,,,,,,,,,
berries,white bread,,,,,,,,,
yogurt,grapes,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
ham,other vegetables,napkins,,,,,,,,
chocolate marshmallow,whipped/sour cream,,,,,,,,,
butter,whole milk,,,,,,,,,
root vegetables,dishes,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
packaged fruit/vegetables,frozen vegetables,,,,,,,,,
other vegetables,tropical fruit,sweet spreads,,,,,,,,
sausage,soda,cooking chocolate,roll products ,,,,,,,
hard cheese,yogurt,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
pastry,whole milk,soda,Instant food products,,,,,,,
onions,chicken,,,,,,,,,
onions,sugar,mustard,rolls/buns,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pip fruit,chewing gum,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
root vegetables,other vegetables,whole milk,frozen meals,,,,,,,
newspapers,domestic eggs,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
yogurt,chocolate,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
ham,other vegetables,,,,,,,,,
soda,bottled water,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
canned beer,frozen potato products,,,,,,,,,
domestic eggs,coffee,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
dessert,whole milk,whole milk,domestic eggs,,,,,,,
dessert,onions,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
coffee,soda,,,,,,,,,
other vegetables,butter,whipped/sour cream,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
pip fruit,curd,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
coffee,sausage,bottled water,cream cheese ,,,,,,,
specialty chocolate,candles,,,,,,,,,
coffee,napkins,,,,,,,,,
curd,frankfurter,white bread,pip fruit,waffles,,,,,,
pip fruit,white wine,white bread,salt,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
root vegetables,bottled beer,fruit/vegetable juice,,,,,,,,
salt,domestic eggs,,,,,,,,,
berries,other vegetables,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
hard cheese,bottled water,root vegetables,brown bread,,,,,,,
pastry,roll products ,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
liquor,cream cheese ,rolls/buns,,,,,,,,
misc. beverages,coffee,,,,,,,,,
liquor,whole milk,,,,,,,,,
bottled water,onions,,,,,,,,,
berries,soda,bottled beer,,,,,,,,
root vegetables,butter,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
pastry,cream cheese ,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
whipped/sour cream,coffee,,,,,,,,,
chicken,sausage,tropical fruit,brown bread,domestic eggs,cake bar,fruit/vegetable juice,canned beer,,,
waffles,white bread,,,,,,,,,
chocolate,white wine,,,,,,,,,
pot plants,tropical fruit,pip fruit,whole milk,semi-finished bread,,,,,,
butter milk,yogurt,,,,,,,,,
dessert,pickled vegetables,cat food,,,,,,,,
canned beer,yogurt,,,,,,,,,
sliced cheese,pasta,,,,,,,,,
sausage,processed cheese,,,,,,,,,
pastry,other vegetables,other vegetables,butter milk,,,,,,,
other vegetables,root vegetables,,,,,,,,,
salty snack,pip fruit,chicken,rolls/buns,red/blush wine,,,,,,
soft cheese,other vegetables,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
